TABLE_CAT,TABLE_SCHEM,TABLE_NAME,COLUMN_NAME,DATA_TYPE,TYPE_NAME,COLUMN_SIZE,BUFFER_LENGTH,DECIMAL_DIGITS,NUM_PREC_RADIX,NULLABLE,REMARKS,COLUMN_DEF,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION,IS_NULLABLE,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_TABLE,SOURCE_DATA_TYPE
buxdwh,reporting,cube_daily_user,retention_day14,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),123,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,retention_day21,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),124,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,retention_day30,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),125,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_private_chat_messages_received,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),126,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_chat_messages_received,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),127,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,account_status,12,Varchar,20,20,(null),(null),1,(null),'FUN_BUX',12,(null),20,128,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,social_status,12,Varchar,20,20,(null),(null),1,(null),'Non-Social',12,(null),20,129,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,social_status_battles,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),130,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,social_status_groups_private,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),131,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,social_status_groups_public,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),132,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,conversion_started,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),133,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,conversion_started_ayondo,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),134,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,conversion_to_sb,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),135,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,conversion_to_sb_reactivated,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),136,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,conversion_to_fb,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),137,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_private_chat_messages_removed,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),138,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,groups_public_chat_messages_removed,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),139,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,retention_day60,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),140,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,retention_day90,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),141,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_open_positions,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),142,YES,(null),(null),(null),(null)
buxdwh,reporting,cube_daily_user,trades_sb_invested_amount,-5,Integer,19,8,(null),10,1,(null),0,-5,(null),(null),143,YES,(null),(null),(null),(null)
